City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
416,Pombas,CV,80.6,17.15,-25.02,
417,Maine-Soroa,NE,77.86,13.21,12.02,
419,Key West,US,87.8,24.56,-81.78,
422,Road Town,VG,82.4,18.42,-64.62,
429,Aripuana,BR,80.37,-9.17,-60.63,
430,Surt,LY,78.3,31.21,16.59,
433,Codo,BR,77.63,-4.46,-43.89,
437,Nizwa,OM,85.68,22.93,57.53,
441,Murindo,CO,75.18,6.98,-76.75,
442,Albany,US,84.99,42.6,-73.97,
443,Tabou,CI,75.24,4.42,-7.35,
446,Carutapera,BR,76.14,-1.2,-46.02,
447,Bargarh,IN,77.92,21.33,83.62,
449,Lethem,GY,78.37,3.38,-59.8,
450,Trairi,BR,76.21,-3.28,-39.27,
452,Praia,CV,80.6,14.92,-23.51,
453,Dwarka,IN,82.0,22.24,68.97,
454,Terrasini,IT,77.0,38.15,13.08,
457,Brejinho,BR,75.2,-6.19,-35.36,
458,Careiro Da Varzea,BR,82.4,-3.2,-59.81,
459,Pese,PA,77.36,7.9,-80.62,
464,Bathsheba,BB,82.4,13.22,-59.52,
465,Tucuma,BR,76.8,-0.18,-50.05,
466,Jalu,LY,77.58,29.03,21.55,
468,Kanniyakumari,IN,79.12,8.08,77.57,
475,Alenquer,BR,75.2,-1.94,-54.74,
488,Gao,ML,78.03,16.64,1.64,
489,Presidencia Roque Saenz Pena,AR,79.77,-26.79,-60.44,
496,Porto Walter,BR,76.32,-8.27,-72.74,
499,Port Said,EG,80.6,31.26,32.28,
503,Port-Gentil,GA,78.8,-0.72,8.78,
505,Ierapetra,GR,75.99,35.01,25.74,
506,Santa Marta,CO,75.99,11.24,-74.2,
514,Gasa,PS,79.0,31.5,34.47,
517,Qena,EG,86.0,26.16,32.72,
519,Virginia Beach,US,82.99,36.85,-75.98,
525,Salinas,US,77.0,36.68,-121.66,
528,Loiza,PR,78.8,18.43,-65.88,
531,Sao Gabriel Da Cachoeira,BR,79.21,-0.13,-67.09,
542,Les Cayes,HT,81.57,18.2,-73.75,
543,Saint Anthony,US,87.01,45.02,-93.22,
544,Sturgeon Falls,CA,75.0,46.36,-79.93,
545,Gat,IL,79.0,31.61,34.76,
546,Maraa,BR,77.43,-1.83,-65.37,
547,Parana,AR,75.0,-31.73,-60.52,
548,Nioro,GM,76.66,13.35,-15.75,
550,Suluktu,KG,75.2,39.93,69.57,
551,Santa Fe,AR,75.0,-31.63,-60.7,Conquistador Hotel
